Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2024,1,0,18.85,32.4,0,5,1,1,5,0,4,0,3,1
2024,0,1,34.88,41.57,0,6,1,10,5,0,9,1,9,3
2023,0,0,42.0,56.8,0,6,1,2,7,1,2,0,5,1
2024,5,0,33.75,42.9,2,10,0,9,7,1,2,0,10,9
2023,1,2,47.9,39.62,0,1,0,2,4,1,4,0,10,3
2022,8,2,20.14,47.29,0,10,1,7,4,0,4,0,4,2
2021,4,1,38.38,26.6,1,4,0,7,1,1,2,0,4,10
2022,0,1,7.87,54.67,2,5,1,9,2,0,4,0,4,2
2021,8,0,11.61,63.65,1,9,1,1,6,1,5,1,2,6
2020,7,1,23.98,17.62,1,2,0,3,6,1,5,1,9,9
2020,5,2,42.85,66.66,0,5,0,5,3,0,9,0,2,10
2022,6,0,48.72,11.41,0,2,0,8,3,1,10,0,10,4
2024,3,2,37.71,19.46,1,5,1,2,4,1,1,0,10,8
2022,7,1,44.99,42.47,0,8,0,4,1,0,5,1,3,2
2020,1,2,11.78,65.31,1,9,0,1,10,0,2,1,9,1
2020,7,2,41.94,62.21,1,5,1,9,9,1,2,0,1,4
2023,4,0,49.99,57.28,0,2,1,9,3,1,4,0,8,1
2024,1,1,24.61,39.62,2,10,0,8,4,1,8,0,6,8
2021,4,1,15.08,22.28,0,1,1,6,8,0,7,1,2,6
2021,1,2,15.4,30.66,1,3,1,7,5,0,5,1,9,7
2023,4,0,15.17,45.36,1,6,1,4,3,0,10,1,4,6
2022,8,2,10.49,50.57,2,6,1,9,2,0,2,1,7,8
2021,3,1,9.95,67.8,0,3,1,4,7,1,6,0,5,3
2020,7,2,26.59,14.25,0,2,1,3,6,0,10,0,3,5
2022,1,2,18.41,15.59,2,7,0,3,9,1,6,0,8,4
2023,1,1,46.0,32.2,0,1,0,7,1,1,3,0,5,10
2020,0,0,14.8,69.46,2,3,0,6,10,1,8,0,8,8
2022,7,2,12.27,18.92,2,9,1,7,10,1,6,1,1,10
2023,9,2,6.51,10.85,2,6,1,5,10,1,9,1,5,6
2020,6,0,13.23,11.52,1,6,1,3,10,0,2,1,3,8
2020,1,1,20.62,28.8,0,1,0,2,8,1,7,0,10,1
2021,2,1,9.39,46.57,2,7,0,6,10,0,6,1,4,6
2022,9,2,6.33,37.3,0,2,1,9,10,1,1,0,6,5
2024,1,1,8.06,45.28,2,8,1,3,5,0,2,0,5,1
2021,4,2,15.13,38.45,2,1,1,1,8,1,3,0,10,1
2022,8,2,39.8,18.49,0,7,1,3,6,0,5,1,9,3
2021,3,0,15.37,45.38,1,10,0,9,2,1,10,0,4,2
2020,6,1,7.66,36.97,0,9,1,4,10,1,3,1,10,9
2020,8,2,13.45,25.54,1,10,1,4,5,0,2,1,1,7
2023,4,0,8.76,47.3,1,3,0,4,3,0,10,1,9,10
2024,6,0,35.27,20.63,0,10,1,2,6,0,3,0,4,5
2023,1,0,36.0,27.09,1,8,1,8,4,0,3,0,7,2
2020,7,0,12.38,28.62,0,7,0,8,10,0,7,0,10,1
2023,5,1,13.36,55.96,0,4,1,8,5,0,9,0,7,10
2020,6,1,25.47,53.1,2,7,0,6,1,1,6,0,7,2
2020,4,1,9.6,61.01,2,1,1,9,2,1,5,1,7,8
2022,3,2,36.69,57.83,1,4,1,2,5,0,4,0,3,5
2024,5,1,10.73,59.82,1,2,1,3,6,1,1,1,7,5
2022,2,2,45.06,53.97,2,1,0,1,1,0,2,1,5,2
2023,9,2,12.05,47.01,1,2,0,6,8,0,8,1,10,6
2024,6,1,33.37,15.45,1,4,0,4,2,0,1,1,3,7
2022,4,1,21.8,23.79,2,5,1,5,2,1,7,0,6,9
2023,7,0,36.28,59.03,2,3,1,7,8,1,1,0,5,2
2023,6,2,15.83,65.4,1,5,1,4,5,0,4,1,5,2
2023,0,0,11.23,48.93,2,2,1,9,2,0,5,1,8,8
2023,6,1,6.95,11.01,0,8,1,7,1,1,7,0,8,4
2020,9,0,41.45,57.14,1,1,0,10,2,1,8,1,5,9
2023,4,1,41.62,35.57,1,1,0,4,7,0,7,0,7,8
2023,3,0,23.38,64.3,1,9,0,4,5,1,3,0,5,5
2023,7,2,34.51,30.55,0,2,0,4,2,1,5,0,5,6
2022,2,0,37.54,20.89,0,5,0,7,9,0,9,0,2,4
2024,0,2,47.78,26.48,0,3,1,2,10,1,9,0,2,9
2020,2,2,40.66,36.24,1,10,0,7,5,1,10,1,10,7
2024,8,1,28.48,36.64,0,10,1,9,8,0,2,1,6,8
2020,7,0,27.83,64.58,0,3,1,2,6,1,4,0,3,6
2022,4,2,41.06,47.32,1,3,0,1,9,1,2,1,8,3
2020,7,0,24.76,65.08,2,9,0,2,1,1,6,0,2,7
2020,4,0,49.06,48.66,1,8,0,5,10,0,3,1,6,3
2021,5,2,49.26,22.41,1,10,0,8,10,0,8,0,2,1
2024,5,0,18.18,17.11,0,1,0,3,9,0,9,0,8,1
2021,8,0,42.52,58.85,0,2,1,8,8,1,1,0,2,9
2022,9,2,7.88,45.21,1,10,1,10,2,0,5,1,9,7
2021,9,1,39.94,45.3,0,3,1,7,2,0,4,1,7,6
2021,8,0,42.92,10.21,0,9,1,6,7,1,2,1,4,10
2023,2,0,8.21,15.7,2,3,1,4,1,1,8,0,1,2
2024,3,0,18.59,65.63,2,2,1,3,6,0,6,0,2,6
2024,7,2,45.99,51.65,0,1,0,10,6,1,8,0,5,3
2021,1,1,6.73,54.86,2,2,1,7,5,0,2,0,9,5
2020,6,0,7.44,33.54,1,5,1,2,1,1,3,1,1,8
2020,5,2,7.0,12.62,1,7,0,10,3,1,7,1,1,4
2024,2,1,17.7,45.11,2,9,1,5,1,0,4,0,3,10
2023,1,1,42.42,12.38,2,10,1,10,10,1,4,1,7,5
2024,4,0,28.85,28.35,2,1,1,6,10,0,6,1,8,10
2021,7,0,10.55,36.15,1,5,0,1,8,0,9,0,9,7
2023,4,0,22.5,40.5,2,9,1,7,9,1,1,1,3,10
2022,8,2,27.48,50.25,1,1,0,1,7,1,5,0,5,7
2024,5,0,6.63,18.05,0,2,1,3,2,0,7,0,9,6
2021,3,2,8.28,19.4,2,6,1,9,6,0,7,1,2,1
2020,7,2,8.92,32.42,0,3,0,8,4,1,9,1,7,4
2023,4,2,29.57,69.28,1,4,1,5,10,1,6,1,10,4
2023,2,1,15.77,43.93,0,3,0,5,5,0,5,1,7,7
2023,4,1,24.09,33.43,0,2,0,7,6,1,4,0,6,2
2020,1,2,29.15,22.8,2,5,0,7,2,1,1,0,10,10
2022,4,2,10.43,16.0,0,10,1,9,10,0,5,1,7,10
2020,3,0,37.58,45.34,0,3,0,9,6,1,1,0,8,1
2021,2,0,10.88,46.54,2,5,0,9,10,0,6,1,3,1
2020,4,2,12.01,26.45,2,1,0,3,1,1,4,1,8,5
2024,3,1,45.51,14.16,1,5,1,9,9,0,6,1,6,5
2020,1,0,7.86,39.07,0,6,1,3,6,1,4,0,2,9
2021,4,2,9.52,49.18,1,8,0,4,8,0,10,1,10,5
2021,6,0,10.22,28.96,2,6,1,1,7,0,3,1,6,9
2023,9,0,32.56,49.41,1,1,0,2,6,0,1,0,3,7
2020,0,0,7.17,53.14,2,8,0,3,1,1,6,0,4,5
2024,7,1,41.12,60.84,0,8,1,9,9,1,10,0,2,6
2021,3,0,32.85,13.89,2,9,1,3,6,1,10,1,6,3
2023,5,1,26.36,42.03,1,1,0,6,10,0,10,0,9,7
2024,0,0,40.36,65.09,1,4,1,4,4,1,10,0,4,10
2020,9,0,21.61,65.06,2,5,0,4,4,0,8,1,2,3
2024,9,1,15.67,25.33,2,1,1,5,5,0,2,1,9,6
2020,8,2,28.76,41.96,1,1,0,10,9,0,5,0,2,7
2024,5,0,8.88,47.16,1,9,1,5,4,0,5,1,2,6
2021,9,1,24.49,62.62,0,3,1,3,1,0,9,1,10,2
2023,0,2,14.23,36.93,2,9,1,5,5,1,2,0,4,4
2021,3,0,33.14,13.09,1,7,0,4,1,0,1,1,10,1
2021,8,0,38.16,38.74,2,4,0,10,3,0,1,0,7,8
2022,1,0,42.71,69.71,1,9,1,4,7,1,2,0,4,6
2023,1,2,9.67,37.92,0,3,1,2,4,0,7,0,3,1
2024,3,2,32.76,59.81,2,4,0,6,5,1,10,1,4,4
2021,5,1,39.96,62.14,1,6,1,4,6,0,6,0,6,8
2021,6,1,24.99,54.11,2,3,1,3,5,0,9,1,10,3
2021,4,2,9.79,18.35,1,1,1,7,5,1,10,0,7,8
2021,2,1,23.41,37.84,1,9,1,4,10,0,9,0,6,7
2023,2,2,20.87,28.02,1,3,0,1,5,0,1,1,9,3
2021,3,2,44.17,65.13,2,4,1,3,2,0,5,1,10,9
2021,5,1,5.4,38.27,2,10,1,9,3,0,9,1,6,6
2024,7,2,40.16,40.9,1,3,0,10,10,1,4,0,4,6
2023,8,1,33.43,37.55,0,7,0,3,9,1,2,1,9,9
2023,2,0,12.79,28.12,2,4,0,7,2,0,10,1,6,5
2022,0,0,13.01,39.62,1,8,0,9,10,1,9,1,5,7
2022,6,2,23.85,67.88,2,9,1,6,6,1,10,0,4,1
2020,7,2,35.52,13.41,2,9,0,9,3,1,1,0,5,4
2023,6,1,22.63,66.68,0,6,0,4,7,1,9,1,6,9
2020,8,2,41.8,30.25,2,3,0,4,1,1,6,1,6,3
2020,2,0,10.72,46.91,2,3,1,1,9,0,5,0,5,10
2021,1,1,32.36,62.76,1,6,1,9,10,0,9,1,3,9
2023,2,0,37.55,34.05,2,10,1,10,6,0,2,0,6,3
2023,8,1,30.41,17.69,1,6,0,4,9,1,2,1,1,1
2024,8,0,24.16,31.23,1,7,0,9,9,0,8,0,9,6
2021,1,1,12.98,10.37,2,5,1,1,2,1,2,0,7,6
2022,9,2,24.26,49.94,2,9,0,10,7,0,10,1,1,3
2023,3,0,7.52,19.2,2,7,0,6,5,0,5,1,5,9
2023,1,0,25.23,28.76,1,3,0,1,5,1,2,0,5,7
2024,6,1,48.9,54.78,1,5,1,1,6,0,7,1,4,7
2022,9,0,19.36,54.07,0,8,1,6,4,1,2,1,9,8
2023,4,1,20.98,52.55,2,2,0,10,2,0,8,0,3,10
2021,7,0,13.44,31.25,2,4,1,8,6,1,5,0,5,8
2023,7,0,26.33,69.59,0,9,0,4,4,1,6,1,7,7
2021,7,2,5.0,60.11,2,6,1,9,1,1,7,1,6,3
2023,8,0,33.73,33.11,0,4,0,5,6,0,7,0,1,9
2020,1,1,40.07,41.38,2,3,1,4,3,0,8,0,5,6
2024,7,2,37.05,26.24,1,2,0,5,3,1,8,0,8,9
2020,4,1,27.73,11.43,2,10,0,8,7,1,1,1,9,1
2024,7,0,11.89,36.74,1,7,1,8,3,1,8,1,2,6
2022,5,2,45.77,17.88,1,5,1,3,9,1,7,1,3,3
2021,9,1,30.62,42.89,2,10,1,7,8,1,8,0,5,9
2022,1,1,9.28,42.96,0,7,0,5,9,1,4,0,6,2
2022,2,0,28.98,10.47,2,2,1,6,5,0,3,0,4,2
2022,2,0,17.36,14.93,1,10,0,1,6,0,7,1,2,2
2023,8,2,9.4,16.24,2,6,0,4,2,1,6,0,8,10
2020,9,0,45.64,46.73,1,7,1,3,5,0,10,0,4,5
2022,0,2,46.06,36.94,0,10,1,8,9,1,8,1,8,2
2022,1,1,20.03,37.61,1,3,0,2,2,1,8,1,4,7
2024,9,1,47.67,54.46,1,6,0,4,9,0,10,1,7,10
2020,5,2,18.58,38.8,1,8,1,5,3,1,4,0,8,1
2022,2,2,42.73,18.6,2,10,0,3,8,1,10,1,3,9
2021,9,0,22.31,43.36,0,6,0,9,5,1,9,1,1,1
